algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
hgb	fixed	0.9003312444	0.2600208327
logistic	1.0	0.8697761862	0.2031265552
logistic	0.1	0.8696866607	0.2084922577
logistic	10.0	0.867484333	0.1965027103
