algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
logistic	0.1	0.8710253807	0.1786722442
hgb	fixed	0.8690964467	0.1844243477
logistic	1.0	0.8583553299	0.1680825557
logistic	10.0	0.848284264	0.1639559935
