mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	64	ridge	10.0	0.213585218	0.3548367124
LAV	64	ridge	1.0	0.2129064442	0.3552212124
LAV	16	ridge	10.0	0.2101984489	0.3534799085
LAV	64	ridge	0.1	0.2094046231	0.3559500061
LAV	16	ridge	1.0	0.2078720839	0.3539293359
LAV	32	ridge	1.0	0.2077790033	0.3548327217
LAV	32	ridge	10.0	0.2070770892	0.3545632801
LAV	32	ridge	0.1	0.2060936172	0.3554079015
LAV	16	ridge	0.1	0.2020643973	0.3547406234
LAV	16	hgb	fixed	0.2018600096	0.3526417676
LAV	32	hgb	fixed	0.193430135	0.3533602601
LAV	64	hgb	fixed	0.1841974512	0.3544564248
