Run	Epochs	WallSeconds	BestEpoch	BestJ
UniformKD-FP32-seed1111	12	3114.861935524037	2	0.5154934128125508
UniformKD-FP16-seed1111	28	6735.247804240324	18	0.5232486724853516
MGD-seed1111-screen	8	1953.4070391000714	8	0.5321656664212544
