valid_split,rho,gamma,trigger_rate,mean_weight_l1_from_fallback,trigger_actual_gain,fallback_actual_gain,shuffled_trigger_rate
0,10,0.002,0.4371704745,0.01614696291,0.002330812557,-3.872996988e-19,0.08875219684
1,10,0.005,0.2052447552,0.01470812849,-0.005026866639,4.066258988e-18,0.02377622378
