algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
hgb	fixed	0.8835532995	0.1921143795
logistic	0.1	0.8484263959	0.1473882708
logistic	1.0	0.8376852792	0.136006039
logistic	10.0	0.8327309645	0.1329420535
