mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	32	ridge	1.0	0.1711435505	0.3526416707
LAV	32	ridge	0.1	0.1700384027	0.3528653137
LAV	32	ridge	10.0	0.1692123884	0.3524624658
LAV	32	hgb	fixed	0.1686368419	0.3506593853
LAV	16	ridge	10.0	0.1630004235	0.3527179059
LAV	16	ridge	1.0	0.1627153643	0.3526793323
LAV	64	ridge	1.0	0.1611929557	0.3553586846
LAV	16	ridge	0.1	0.1604640374	0.3525671131
LAV	64	ridge	0.1	0.1594484526	0.3558551292
LAV	64	ridge	10.0	0.1577278527	0.3549661344
LAV	64	hgb	fixed	0.1559538236	0.3525115411
LAV	16	hgb	fixed	0.1553210326	0.3518276918
